Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Symbol,Name,Daily_Return,Volatility_20d,RSI_14,SMA_20,SMA_50,SMA_200,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower
1993-01-29 00:00:00-05:00,24.330334035295508,24.330334035295508,24.209287597308965,24.31304168701172,1003200,0.0,0.0,0.0,SPY,S&P 500 ETF,,,,,,,0.0,0.0,0.0,,,
1993-02-01 00:00:00-05:00,24.330323219299316,24.48595428466797,24.330323219299316,24.48595428466797,480500,0.0,0.0,0.0,SPY,S&P 500 ETF,0.007111927823848729,,,,,,0.003879449306388949,0.002155249614660527,0.001724199691728422,,,
1993-02-02 00:00:00-05:00,24.468678110833736,24.55513987094269,24.416801054768364,24.5378475189209,201300,0.0,0.0,0.0,SPY,S&P 500 ETF,0.002119306180581315,,,,,,0.0065523945250234306,0.003957358184481389,0.002595036340542042,,,
1993-02-03 00:00:00-05:00,24.57241976776549,24.814512573359238,24.555127424508793,24.79722023010254,529400,0.0,0.0,0.0,SPY,S&P 500 ETF,0.010570312289276407,,,,,,0.016972072803035587,0.008366136849303272,0.008605935953732316,,,
1993-02-04 00:00:00-05:00,24.88368193043603,24.952851303418477,24.607004438506234,24.90097427368164,531500,0.0,0.0,0.0,SPY,S&P 500 ETF,0.004184099774746208,,,,,,0.026405277447466347,0.013732373343283241,0.012672904104183105,,,
1993-02-05 00:00:00-05:00,24.883676528930668,24.935553547406546,24.745337812994986,24.883676528930664,492100,0.0,0.0,0.0,SPY,S&P 500 ETF,-0.0006946613638831867,,,,,,0.03083991960783905,0.01836946954215018,0.012470450065688872,,,
1993-02-08 00:00:00-05:00,24.883676528930668,24.970138226390468,24.849091849946745,24.883676528930664,596100,0.0,0.0,0.0,SPY,S&P 500 ETF,0.0,,,,,,0.033152691947019974,0.022110708752336124,0.01104198319468385,,,
1993-02-09 00:00:00-05:00,24.7972218384686,24.7972218384686,24.65888308344228,24.71076011657715,122100,0.0,0.0,0.0,SPY,S&P 500 ETF,-0.006948989718319032,,,,,,0.02594655409998481,0.023032534522463854,0.002914019577520955,,,
1993-02-10 00:00:00-05:00,24.710763283495634,24.76264032327904,24.641593897117758,24.74534797668457,379600,0.0,0.0,0.0,SPY,S&P 500 ETF,0.0013997084648245117,,,,,,0.022277680894102758,0.022858159589464282,-0.0005804786953615242,,,
1993-02-11 00:00:00-05:00,24.779936112681085,24.970151951647935,24.779936112681085,24.866397857666016,19500,0.0,0.0,0.0,SPY,S&P 500 ETF,0.004891823751902891,,,,,,0.025586165672606853,0.023469391312624016,0.002116774359982837,,,
1993-02-12 00:00:00-05:00,24.831809094007316,24.831809094007316,24.676177978515625,24.676177978515625,42500,0.0,0.0,0.0,SPY,S&P 500 ETF,-0.007649675688421009,,,,,,0.017484031545592416,0.0221598287955606,-0.004675797249968184,,,
1993-02-16 00:00:00-05:00,24.607004896502627,24.607004896502627,24.01906521520882,24.05364990234375,374800,0.0,0.0,0.0,SPY,S&P 500 ETF,-0.025227896990931087,,,,,,-0.022889979336611077,0.01248501932477326,-0.03537499866138434,,,
1993-02-17 00:00:00-05:00,24.05364640599532,24.08823108810315,23.949892359671832,24.036354064941406,210900,0.0,0.0,0.0,SPY,S&P 500 ETF,-0.0007190525127189762,,,,,,-0.05350580457632148,-0.001480931734581226,-0.052024872841740254,,,
1993-02-18 00:00:00-05:00,24.313035705434583,24.313035705434583,23.690511320373666,24.019065856933594,378100,0.0,0.0,0.0,SPY,S&P 500 ETF,-0.0007192525106387571,,41.747428299732924,,,,-0.07672918726764522,-0.017222922936006607,-0.05950626433163861,,,
1993-02-19 00:00:00-05:00,24.019058554552206,24.105520248413086,23.984473877007854,24.105520248413086,34900,0.0,0.0,0.0,SPY,S&P 500 ETF,0.0035994069042670773,,44.444081315841885,,,,-0.08813377185681404,-0.0319222803820152,-0.056211491474798835,,,
